G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,k_1,k_2,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,0,40403,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 499, 811, 1230, 1975, 3078, 4078, 5035, 5415, 5092, 4262, 3106, 2047, 1292, 800, 446, 291, 163, 98, 43, 20, 6, 6, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,0.7,3,40516,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 434, 683, 1110, 1766, 2632, 3761, 4759, 5236, 5313, 4460, 3587, 2353, 1535, 948, 573, 337, 201, 106, 53, 34, 15, 8, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.06,0.7,1,40481,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 784, 1260, 2036, 3024, 4079, 5199, 5483, 5257, 4229, 3051, 1982, 1281, 723, 467, 268, 129, 85, 36, 13, 4, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.04,0.7,3,40356,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 474, 784, 1186, 1910, 2810, 3964, 4878, 5527, 5293, 4310, 3236, 2107, 1396, 801, 507, 275, 141, 76, 42, 17, 8, 2, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.06,0.7,0,40387,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 495, 777, 1263, 2014, 3035, 4172, 5130, 5610, 5249, 4113, 3049, 1991, 1240, 731, 400, 259, 140, 62, 32, 12, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,9,40300,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 497, 720, 1136, 1826, 2696, 3828, 4799, 5454, 5247, 4380, 3375, 2255, 1458, 891, 519, 288, 159, 85, 47, 18, 10, 0, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,3,40398,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 498, 774, 1312, 2030, 3044, 4110, 5175, 5460, 5237, 4170, 3037, 1973, 1243, 785, 439, 232, 137, 77, 40, 13, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,9,40699,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 469, 719, 1132, 1768, 2635, 3792, 4922, 5485, 5295, 4470, 3389, 2293, 1491, 961, 558, 334, 182, 109, 47, 28, 8, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,2,40225,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 460, 739, 1166, 1900, 2887, 4097, 5172, 5548, 5280, 4311, 3032, 2022, 1247, 793, 445, 234, 126, 83, 38, 27, 7, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,7,40030,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 451, 732, 1146, 1820, 2721, 3764, 4797, 5277, 5202, 4480, 3372, 2250, 1417, 861, 488, 299, 167, 95, 51, 23, 7, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,7,40505,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 505, 832, 1259, 2009, 2999, 4113, 5000, 5531, 5135, 4293, 3135, 2108, 1341, 697, 449, 239, 134, 62, 37, 13, 2, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,5,40030,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 740, 1171, 1857, 2783, 3901, 4899, 5423, 5251, 4451, 3230, 2159, 1327, 819, 409, 237, 147, 58, 41, 22, 9, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,6,40497,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 453, 679, 1080, 1810, 2650, 3824, 4947, 5496, 5286, 4548, 3332, 2311, 1448, 892, 510, 289, 170, 83, 44, 24, 8, 2, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,8,40404,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 480, 702, 1099, 1801, 2634, 3719, 4771, 5496, 5361, 4600, 3372, 2299, 1423, 891, 501, 290, 171, 103, 48, 26, 5, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,1,40397,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 480, 799, 1291, 1961, 2847, 4001, 4959, 5557, 5192, 4280, 3145, 2127, 1321, 784, 479, 261, 155, 69, 48, 24, 4, 2, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,5,40508,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 500, 740, 1156, 1833, 2733, 3849, 4859, 5497, 5420, 4491, 3354, 2219, 1386, 846, 458, 253, 158, 80, 45, 14, 7, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,4,40349,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 463, 689, 1130, 1803, 2781, 3966, 4841, 5486, 5210, 4421, 3315, 2225, 1429, 839, 524, 281, 154, 100, 47, 24, 9, 1, 0, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,8,40382,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 493, 772, 1282, 1965, 2934, 4054, 5071, 5418, 5134, 4170, 3163, 2100, 1342, 771, 507, 280, 151, 84, 46, 27, 3, 3, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,4,40246,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 477, 729, 1178, 1860, 2754, 3921, 4915, 5566, 5328, 4448, 3243, 2139, 1371, 779, 438, 250, 123, 63, 37, 11, 5, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.06,0.7,7,40390,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 468, 757, 1265, 1966, 2991, 4125, 5264, 5488, 5205, 4149, 3005, 2070, 1299, 696, 461, 279, 148, 85, 38, 12, 7, 0, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,3,40303,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 483, 771, 1215, 1901, 2989, 4109, 5045, 5407, 5273, 4093, 3139, 2084, 1352, 764, 491, 278, 162, 73, 39, 15, 7, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.06,0.7,2,40415,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 469, 764, 1224, 1880, 2788, 3873, 4985, 5533, 5287, 4413, 3222, 2151, 1369, 824, 481, 257, 141, 73, 42, 22, 2, 4, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.08,0.7,1,40692,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 750, 1187, 1806, 2847, 3924, 5058, 5528, 5265, 4504, 3346, 2162, 1374, 793, 476, 308, 145, 78, 28, 21, 6, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.06,0.7,5,40325,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 463, 668, 1123, 1753, 2677, 3747, 4748, 5306, 5315, 4503, 3464, 2375, 1548, 877, 522, 294, 158, 85, 55, 25, 5, 2, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.08,0.7,7,40347,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 444, 732, 1140, 1836, 2831, 3966, 5028, 5579, 5312, 4375, 3165, 2162, 1364, 810, 469, 251, 129, 79, 46, 13, 5, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.06,0.7,3,40568,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 489, 758, 1257, 2037, 3028, 4124, 5036, 5489, 5102, 4286, 3060, 2117, 1296, 817, 462, 302, 151, 87, 35, 18, 3, 2, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,2,40106,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 462, 678, 1161, 1710, 2646, 3606, 4635, 5262, 5339, 4658, 3484, 2297, 1455, 918, 555, 308, 160, 91, 48, 19, 3, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.06,0.7,4,40385,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 446, 734, 1192, 1905, 2893, 4013, 5099, 5688, 5213, 4353, 3164, 2087, 1309, 755, 427, 243, 139, 70, 29, 12, 4, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,1,40229,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 489, 846, 1392, 2093, 3109, 4337, 5273, 5517, 5042, 3948, 2913, 1879, 1203, 698, 426, 230, 111, 70, 26, 11, 3, 0, 2, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.07,0.7,8,40460,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 450, 750, 1216, 1898, 2826, 3991, 5003, 5420, 5266, 4449, 3066, 2255, 1369, 818, 468, 300, 148, 87, 36, 25, 5, 3, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.06,0.7,8,40330,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 470, 759, 1202, 1855, 2744, 3874, 4995, 5578, 5367, 4403, 3218, 2161, 1315, 812, 432, 246, 147, 80, 36, 14, 8, 2, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.06,0.7,6,40182,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 470, 783, 1253, 1981, 2932, 4077, 5039, 5474, 5160, 4159, 3088, 2040, 1298, 776, 435, 274, 159, 95, 46, 21, 11, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.07,0.7,4,40578,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 450, 742, 1144, 1891, 2880, 4028, 5056, 5579, 5407, 4429, 3157, 2115, 1299, 812, 445, 262, 135, 82, 39, 11, 3, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.06,0.7,9,40456,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 465, 787, 1203, 1933, 2837, 3947, 4957, 5413, 5269, 4310, 3209, 2165, 1360, 837, 532, 275, 186, 79, 48, 23, 7, 3, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.08,0.7,2,40478,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 468, 747, 1173, 1873, 2692, 3804, 4904, 5466, 5261, 4329, 3291, 2268, 1432, 924, 562, 306, 180, 104, 47, 34, 2, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.07,0.7,5,40464,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 753, 1179, 1803, 2672, 3888, 4852, 5515, 5301, 4504, 3389, 2190, 1393, 825, 506, 256, 180, 88, 46, 18, 10, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.07,0.7,2,40191,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 471, 760, 1200, 1883, 2796, 3780, 4865, 5318, 5224, 4334, 3230, 2258, 1434, 908, 484, 308, 165, 97, 37, 21, 7, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,0,40265,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 770, 1286, 2016, 2855, 4017, 4925, 5557, 5194, 4193, 3139, 2063, 1272, 791, 483, 280, 169, 78, 47, 24, 10, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.08,0.7,8,40055,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 737, 1166, 1854, 2626, 3732, 4834, 5439, 5235, 4431, 3273, 2238, 1418, 855, 537, 269, 158, 92, 43, 19, 5, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.07,0.7,0,40576,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 507, 759, 1201, 1870, 2868, 3944, 5000, 5490, 5123, 4402, 3318, 2177, 1431, 809, 482, 284, 163, 69, 39, 17, 8, 4, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.07,0.7,3,40197,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 469, 736, 1187, 1766, 2694, 3694, 4683, 5276, 5169, 4581, 3478, 2310, 1469, 914, 546, 282, 180, 84, 45, 14, 10, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.07,0.7,9,40621,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 432, 743, 1156, 1797, 2698, 3783, 4894, 5484, 5465, 4590, 3408, 2242, 1359, 880, 489, 272, 168, 77, 51, 14, 7, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.08,0.7,9,40324,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 448, 686, 1160, 1715, 2594, 3578, 4783, 5492, 5354, 4640, 3371, 2363, 1491, 890, 539, 304, 159, 85, 36, 19, 2, 5, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.08,0.7,4,40341,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 471, 715, 1188, 1830, 2717, 3840, 4837, 5506, 5277, 4477, 3241, 2250, 1450, 879, 472, 274, 154, 80, 38, 26, 8, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.07,0.7,1,40491,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 475, 744, 1089, 1752, 2539, 3579, 4732, 5434, 5286, 4593, 3471, 2456, 1570, 955, 552, 307, 171, 92, 40, 29, 10, 5, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.08,0.7,3,40333,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 464, 729, 1182, 1933, 2876, 3974, 5065, 5527, 5303, 4299, 3142, 2096, 1306, 813, 438, 279, 146, 88, 36, 21, 6, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.08,0.7,5,40566,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 461, 766, 1185, 1883, 2684, 3807, 4865, 5516, 5349, 4504, 3290, 2273, 1393, 852, 499, 302, 159, 91, 48, 21, 4, 4, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.08,0.7,6,40181,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 490, 730, 1127, 1782, 2683, 3704, 4690, 5334, 5277, 4372, 3367, 2281, 1534, 886, 552, 346, 196, 107, 75, 22, 11, 4, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.07,0.7,6,40649,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 462, 747, 1207, 1893, 2834, 4004, 5012, 5572, 5365, 4439, 3320, 2128, 1266, 762, 438, 274, 156, 93, 42, 19, 4, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.07,0.7,7,40456,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 482, 785, 1221, 1826, 2724, 3797, 4874, 5468, 5260, 4409, 3266, 2241, 1393, 901, 536, 305, 185, 102, 47, 16, 5, 2, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.08,0.7,0,40387,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 452, 695, 1126, 1763, 2642, 3697, 4771, 5246, 5257, 4555, 3487, 2420, 1483, 898, 549, 304, 223, 105, 57, 26, 18, 1, 2, 0]"
